Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-9.92715260566768E-19,4.5301621524614E-21,0.0148286242957548,0,0,0,0.231383168405501,0.000164370008059259,-3.52319155933024E-36,-6.07448583878214E-22,0.000164370008059259,-1.79636573970476E-25,0.000294219996110724,0,0,0,0,0,0,package://Assem1/meshes/base_link.STL,0.8,0.8,0.8,1,0,0,0,0,0,0,package://Assem1/meshes/base_link.STL,,arm_stand.step-1,Coordinate System18,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
arm_link_1,-5.60895538554123E-09,-1.01899977622507E-08,0.0192339642636667,0,0,0,0.0140610830015761,2.64199583654349E-06,-5.18872964282466E-13,1.08139937947948E-12,2.48798144308851E-06,1.16877062647888E-12,9.16890421104533E-07,0,0,0,0,0,0,package://Assem1/meshes/arm_link_1.STL,0.8,0.8,0.8,1,0,0,0,0,0,0,package://Assem1/meshes/arm_link_1.STL,,arm_link_a.step-1,Origin_arm_joint_12,Axis_arm_joint_1,arm_joint_1,revolute,0,0,0.02,0,0,0,base_link,0,0,1,1,1,-1,1,,,,,,,,
arm_link_2,-5.0014620059178E-05,-6.52787115090977E-09,0.018233822252808,0,0,0,0.0303323489567538,6.34517628171626E-06,1.18095385780959E-12,-7.947631712951E-12,7.64042937703349E-06,-2.78091913206634E-12,7.28884028444061E-06,0,0,0,0,0,0,package://Assem1/meshes/arm_link_2.STL,0.8,0.8,0.8,1,0,0,0,0,0,0,package://Assem1/meshes/arm_link_2.STL,,arm_link_b.step-1,Origin_arm_joint_22,Axis_arm_joint_2,arm_joint_2,revolute,0,0,0.035,0,0,-1.5708,arm_link_1,1,0,0,1,1,-1,1,,,,,,,,
arm_link_3,-5.60895235840544E-09,-1.01899984118281E-08,0.0192339642636681,0,0,0,0.0140610830015761,2.64199583654348E-06,-5.18872964262511E-13,1.08139937946118E-12,2.48798144308851E-06,1.1687706243988E-12,9.16890421104533E-07,0,0,0,0,0,0,package://Assem1/meshes/arm_link_3.STL,0.8,0.8,0.8,1,0,0,0,0,0,0,package://Assem1/meshes/arm_link_3.STL,,arm_link_a.step-4,Origin_arm_joint_32,Axis_arm_joint_3,arm_joint_3,revolute,-5E-05,0,0.025,0,0,-1.5708,arm_link_2,0,0,1,1,1,-1,1,,,,,,,,
arm_link_4,-1.46200586445764E-08,-6.52786858085809E-09,0.0182338222528074,0,0,0,0.0303323489567538,6.34517628171626E-06,1.18095385093884E-12,-7.9476311738493E-12,7.64042937729006E-06,-2.78091913182283E-12,7.28884028469719E-06,0,0,0,0,0,0,package://Assem1/meshes/arm_link_4.STL,0.8,0.8,0.8,1,0,0,0,0,0,0,package://Assem1/meshes/arm_link_4.STL,,arm_link_b.step-2,Origin_arm_joint_42,Axis_arm_joint_4,arm_joint_4,revolute,0,0,0.035,0,0,-1.5708,arm_link_3,1,0,0,1,1,-1,1,,,,,,,,
arm_link_5,-5.60895198874681E-09,-1.01899979452959E-08,0.019233964263662,0,0,0,0.0140610830015761,2.64199583654349E-06,-5.18872964360442E-13,1.08139938007546E-12,2.48798144308851E-06,1.16877062420833E-12,9.16890421104533E-07,0,0,0,0,0,0,package://Assem1/meshes/arm_link_5.STL,0.8,0.8,0.8,1,0,0,0,0,0,0,package://Assem1/meshes/arm_link_5.STL,,arm_link_a.step-2,Origin_arm_joint_52,Axis_arm_joint_5,arm_joint_5,revolute,0,0,0.025,0,0,1.5708,arm_link_4,0,0,1,1,1,-1,1,,,,,,,,
arm_link_6,8.08586048392171E-09,-2.18002221616016E-08,0.0124494035067562,0,0,0,0.0116980114515868,1.14743902060583E-06,1.72850259786646E-13,6.32004606156892E-13,2.8556525323782E-06,-2.52837230281094E-12,2.27076825938645E-06,0,0,0,0,0,0,package://Assem1/meshes/arm_link_6.STL,0.8,0.8,0.8,1,0,0,0,0,0,0,package://Assem1/meshes/arm_link_6.STL,,arm_ee.step-1,Origin_arm_joint_62,Axis_arm_joint_6,arm_joint_6,revolute,0,0,0.035,0,0,-1.5708,arm_link_5,1,0,0,1,1,-1,1,,,,,,,,
finger_1,-0.00162040456220071,0.0169262207376715,-6.08583685833206E-15,0,0,0,0.00633906704359022,7.39090867848727E-07,1.4577371624417E-07,3.17008882138216E-23,3.94477630513247E-07,-1.89052091266422E-22,6.53413408624237E-07,0,0,0,0,0,0,package://Assem1/meshes/finger_1.STL,0.8,0.8,0.8,1,0,0,0,0,0,0,package://Assem1/meshes/finger_1.STL,,gripper_finger.step-1,Origin_finger_1_joint2,Axis_finger_1_joint,finger_1_joint,revolute,-0.015,5E-05,0.02,1.5708,-0.070924,3.1416,arm_link_6,0,0,1,1,0,0,0,,,,,,,,
finger_2,-0.00162040456220239,0.0169262207376717,6.11112587400528E-15,0,0,0,0.00633906704359023,7.39090867848728E-07,1.4577371624417E-07,3.00223979116907E-23,3.94477630513248E-07,-1.22273401286368E-22,6.53413408624239E-07,0,0,0,0,0,0,package://Assem1/meshes/finger_2.STL,0.8,0.8,0.8,1,0,0,0,0,0,0,package://Assem1/meshes/finger_2.STL,,gripper_finger.step-2,Origin_finger_2_joint,Axis_finger_2_joint,finger_2_joint,revolute,0.015,5E-05,0.02,1.5708,-0.070924,0,arm_link_6,0,0,1,1,0,0,0,,,,,,,,
