Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-9.92684599515542E-19,4.57570702997826E-21,0.0148291018939651,0,0,0,0.231394006900156,0.000164371863733277,-3.52321250294965E-36,-6.07528269402725E-22,0.000164371863733277,-1.80945408044066E-25,0.000294221453888255,0,0,0,0,0,0,package://Assem1/meshes/base_link.STL,0.8,0.8,0.8,1,0,0,0,0,0,0,package://Assem1/meshes/base_link.STL,,arm_stand.step-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
arm_link_1,-5.68861980528372E-09,-1.05708161679282E-08,0.0192485023804317,0,0,0,0.0142031538491731,2.67269592155345E-06,-5.1888731822947E-13,1.10808800166006E-12,2.51633708683004E-06,1.24294740481014E-12,9.33665546343041E-07,0,0,0,0,0,0,package://Assem1/meshes/arm_link_1.STL,0.8,0.8,0.8,1,0,0,0,0,0,0,package://Assem1/meshes/arm_link_1.STL,,arm_link_a.step-1,Origin_arm_joint_1,Axis_arm_joint_1,arm_joint_1,revolute,0,-0.02,0,1.5708,0,0,base_link,0,0,1,2,1,-1.56,1.56,,,,,,,,
arm_link_2,-1.4614836365988E-08,-6.52552317505073E-09,0.0182380340257854,0,0,0,0.0303431874514087,6.3474115306898E-06,1.18095385347262E-12,-7.94949950175111E-12,7.64266462603414E-06,-2.78175308434976E-12,7.2902980619988E-06,0,0,0,0,0,0,package://Assem1/meshes/arm_link_2.STL,0.8,0.8,0.8,1,0,0,0,0,0,0,package://Assem1/meshes/arm_link_2.STL,,arm_link_b.step-1,Origin_arm_joint_2,Axis_arm_joint_2,arm_joint_2,revolute,0,0,0.035,0,0,1.5708,arm_link_1,1,0,0,2,1,-1.56,1.56,,,,,,,,
arm_link_3,-5.68861983599515E-09,-1.05708161803937E-08,0.0192485023804317,0,0,0,0.0142031538491731,2.67269592155345E-06,-5.18887318267597E-13,1.10808800174253E-12,2.51633708683004E-06,1.24294740491847E-12,9.3366554634304E-07,0,0,0,0,0,0,package://Assem1/meshes/arm_link_3.STL,0.8,0.8,0.8,1,0,0,0,0,0,0,package://Assem1/meshes/arm_link_3.STL,,arm_link_a.step-3,Origin_arm_joint_3,Axis_arm_joint_3,arm_joint_3,revolute,0,0,0.025,0,0,-1.5708,arm_link_2,0,0,1,2,1,-1.56,1.56,,,,,,,,
arm_link_4,-1.46148352970304E-08,-6.5255229436343E-09,0.0182380340257854,0,0,0,0.0303431874514087,6.34741153068981E-06,1.18095384946575E-12,-7.94949947670813E-12,7.64266462605011E-06,-2.78175308455347E-12,7.29029806201477E-06,0,0,0,0,0,0,package://Assem1/meshes/arm_link_4.STL,0.8,0.8,0.8,1,0,0,0,0,0,0,package://Assem1/meshes/arm_link_4.STL,,arm_link_b.step-2,Origin_arm_joint_4,Axis_arm_joint_4,arm_joint_4,revolute,0,0,0.035,0,0,1.5708,arm_link_3,1,0,0,2,1,-1.56,1.56,,,,,,,,
arm_link_5,-5.6886197961097E-09,-1.05708161571528E-08,0.0192485023804317,0,0,0,0.0142031538491731,2.67269592155345E-06,-5.188873182112E-13,1.10808800161906E-12,2.51633708683004E-06,1.24294740461156E-12,9.3366554634304E-07,0,0,0,0,0,0,package://Assem1/meshes/arm_link_5.STL,0.8,0.8,0.8,1,0,0,0,0,0,0,package://Assem1/meshes/arm_link_5.STL,,arm_link_a.step-2,Origin_arm_joint_5,Axis_arm_joint_5,arm_joint_5,revolute,0,0,0.025,0,0,-1.5708,arm_link_4,0,0,1,2,1,-1.56,1.56,,,,,,,,
arm_link_6,8.03981923490026E-09,-2.16760773560567E-08,0.0124505277198323,0,0,0,0.0117650016345555,1.15732178953453E-06,1.72850260377272E-13,6.32110905935154E-13,2.87122077562552E-06,-2.52865899954145E-12,2.2860769719227E-06,0,0,0,0,0,0,package://Assem1/meshes/arm_link_6.STL,0.8,0.8,0.8,1,0,0,0,0,0,0,package://Assem1/meshes/arm_link_6.STL,,arm_ee.step-1,Origin_arm_joint_6,Axis_arm_joint_6,arm_joint_6,revolute,0,0,0.035,0,0,-1.5708,arm_link_5,1,0,0,2,1,-1.56,1.56,,,,,,,,
finger_1,-0.00162040456220153,0.0169262207376764,-8.19878250375246E-16,0,0,0,0.00633906704359023,7.39090867848726E-07,1.4577371624417E-07,9.30210336374036E-24,3.94477630513247E-07,-1.80787063690954E-22,6.53413408624237E-07,0,0,0,0,0,0,package://Assem1/meshes/finger_1.STL,0.8,0.8,0.8,1,0,0,0,0,0,0,package://Assem1/meshes/finger_1.STL,,gripper_finger.step-1,Origin_finger_1_joint,Axis_finger_1_joint,finger_1_joint,revolute,0.015,0,0.02,1.5708,-0.070924,0,arm_link_6,0,0,1,2,0,0,0,,,,,,,,
finger_2,-0.00162040456220148,0.0169262207376764,1.15710250415343E-15,0,0,0,0.00633906704359023,7.39090867848728E-07,1.4577371624417E-07,2.29096323418868E-23,3.94477630513248E-07,-3.19609775808172E-22,6.53413408624239E-07,0,0,0,0,0,0,package://Assem1/meshes/finger_2.STL,0.8,0.8,0.8,1,0,0,0,0,0,0,package://Assem1/meshes/finger_2.STL,,gripper_finger.step-2,Origin_finger_2_joint,Axis_finger_2_joint,finger_2_joint,revolute,-0.015,0,0.02,1.5708,-0.070924,3.1416,arm_link_6,0,0,1,2,0,0,0,,,,,,,,
